Date,Value,Source_File,Data_Source,Generated_At
2005M01,1.1875,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M02,1.2163,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M03,1.2226,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M04,1.2095,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M05,1.2061,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M06,1.2669,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M07,1.4524,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M08,1.4393,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M09,1.594,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M10,1.6296,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M11,1.5808,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2005M12,1.6313,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M01,1.7615,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M02,1.9259,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M03,1.9127,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M04,1.9409,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M05,2.1543,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M06,2.3492,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M07,2.3081,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M08,2.1357,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M09,1.8115,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M10,1.7926,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M11,1.615,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2006M12,1.6454,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M01,1.9395,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M02,2.1174,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M03,2.0525,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M04,2.165,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M05,2.2192,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M06,2.1098,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M07,2.0401,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M08,2.0685,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M09,2.1111,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M10,2.2628,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M11,2.3732,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2007M12,2.4088,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2008M01,2.5345,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2008M02,2.7213,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2008M03,2.6961,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2008M04,2.7039,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2008M05,2.9603,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2008M06,3.171,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2008M07,3.196,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
2008M08,2.9138,rubber_prices.txt,Commodity Price Crawler,2025-07-02 10:26:01
